version	package	cbo	aff	eff	lcom	mf	cs
1.5.1	org.apache.tools.ant	6	212	18	0.9268617021276596	0.32967032967032966	-860
1.5.1	org.apache.tools.ant.filters	5	3	8	0.8830409356725146	0.7017543859649122	-97
1.5.1	org.apache.tools.ant.filters.util	4	4	12	1.0	0.0	-1
1.5.1	org.apache.tools.ant.helper	2	1	13	0.5	0.5833333333333334	12
1.5.1	org.apache.tools.ant.input	1	4	1	0.65	0.56	4
1.5.1	org.apache.tools.ant.listener	3	0	5	1.0	0.0	-1
1.5.1	org.apache.tools.ant.taskdefs	15	21	92	0.9901131126937579	0.3969722455845248	-11583
1.5.1	org.apache.tools.ant.taskdefs.compilers	4	1	15	0.8363636363636363	0.34285714285714286	-19
1.5.1	org.apache.tools.ant.taskdefs.condition	3	16	7	0.8516483516483516	0.5625	-43
1.5.1	org.apache.tools.ant.taskdefs.cvslib	4	0	16	0.8555555555555555	0.5306122448979592	-19
1.5.1	org.apache.tools.ant.taskdefs.email	3	1	9	0.6333333333333333	0.5789473684210527	5
1.5.1	org.apache.tools.ant.taskdefs.rmic	4	1	13	0.7619047619047619	0.32786885245901637	-3
1.5.1	org.apache.tools.ant.types	5	121	43	0.9404761904761905	0.297029702970297	-498
1.5.1	org.apache.tools.ant.types.selectors	4	3	14	0.8815384615384615	0.6363636363636364	-191
1.5.1	org.apache.tools.ant.util	5	60	8	0.968421052631579	0.18604651162790697	-170
1.5.1	org.apache.tools.ant.util.facade	1	4	2	0.5	0.2	1
1.5.1	org.apache.tools.ant.util.regexp	1	3	2	0.75	0.43478260869565216	0
1.5.1	org.apache.tools.bzip2	0	4	0	0.7	0.8181818181818182	-1
1.5.1	org.apache.tools.mail	0	2	0	0.75	0.75	0
1.5.1	org.apache.tools.tar	0	2	0	0.8	0.75	-3
1.5.1	org.apache.tools.zip	0	4	0	0.7777777777777778	0.8648648648648649	-4
1.5.2	org.apache.tools.ant	6	216	20	0.925531914893617	0.33070866141732286	-856
1.5.2	org.apache.tools.ant.filters	5	3	9	0.8830409356725146	0.6956521739130435	-97
1.5.2	org.apache.tools.ant.filters.util	4	4	12	1.0	0.0	-1
1.5.2	org.apache.tools.ant.helper	2	1	13	0.5	0.5833333333333334	12
1.5.2	org.apache.tools.ant.input	1	4	1	0.65	0.56	4
1.5.2	org.apache.tools.ant.listener	3	0	6	1.0	0.0	-1
1.5.2	org.apache.tools.ant.taskdefs	15	21	95	0.990119222603299	0.39477977161500816	-11886
1.5.2	org.apache.tools.ant.taskdefs.compilers	4	1	15	0.8363636363636363	0.34285714285714286	-19
1.5.2	org.apache.tools.ant.taskdefs.condition	3	16	7	0.8516483516483516	0.5625	-43
1.5.2	org.apache.tools.ant.taskdefs.cvslib	4	0	15	0.8555555555555555	0.5652173913043478	-19
1.5.2	org.apache.tools.ant.taskdefs.email	4	1	10	0.6333333333333333	0.5641025641025641	5
1.5.2	org.apache.tools.ant.taskdefs.rmic	4	1	13	0.7619047619047619	0.32786885245901637	-3
1.5.2	org.apache.tools.ant.types	5	124	43	0.9452347083926032	0.29672447013487474	-567
1.5.2	org.apache.tools.ant.types.selectors	4	4	14	0.8815384615384615	0.6015625	-191
1.5.2	org.apache.tools.ant.util	5	62	11	0.9666666666666667	0.19310344827586207	-186
1.5.2	org.apache.tools.ant.util.facade	1	4	2	0.5	0.2	1
1.5.2	org.apache.tools.ant.util.regexp	1	3	2	0.75	0.43478260869565216	0
